Name,Group,Organization,Link,Date
Share Data Through the Art of Visualization,Data Visualization,Coursera,https://www.coursera.org/account/accomplishments/certificate/5G8EFDT8QQEA,May-23
Automating Real-World Tasks with Python,Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/ZT7NM5Z2TRSY,Apr-23
Configuration Management and the Cloud,Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/LV9SL7WJAA9R,Apr-23
Google IT Automation with Python Specialization,Programming,Coursera,https://www.coursera.org/account/accomplishments/specialization/certificate/EJXM8B5NA5PN,Apr-23
Introduction to Git and GitHub,Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/NAGU3ZAD26R2,Apr-23
Troubleshooting and Debugging Techniques,Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/Y3LND6T25NMF,Apr-23
Crash Course on Python,Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/M7AJVUWKNNQK,Sep-22
Using Python to Interact with the Operating System,Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/4F5PQJLG27GV,Sep-22
SQL (Advanced),Data Analysis,HackerRank,https://www.hackerrank.com/certificates/4179f786b028,May-22
SQL (Basic),Data Analysis,HackerRank,https://www.hackerrank.com/certificates/e0c68e6554a6,May-22
SQL (Intermediate),Data Analysis,HackerRank,https://www.hackerrank.com/certificates/ca9fda4dbb86,May-22
